numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
510,"La liquidación del Presupuesto y la rendición de la Cuenta del Servicio Canario de
la Salud le corresponde a:",A la Intervención General de la Comunidad Autónoma,"La Dirección General de Recursos Económicos del Servicio Canario de la Salud, sin perjuicio de las competencias atribuidas a la Intervención General de la Comunidad Autónoma","A la Intervención General de la Comunidad Autónoma, sin perjuicio de las competencias atribuidas a la Dirección General de Recursos Económicos del Servicio Canario de la Salud","A la Dirección del Servicio Canario de Salud, sin perjuicio de las competencias atribuidas a la Intervención General de la Comunidad Autónoma",B,"La Dirección General de Recursos Económicos del Servicio Canario de la Salud, sin perjuicio de las competencias atribuidas a la Intervención General de la Comunidad Autónoma","510. La liquidación del Presupuesto y la rendición de la Cuenta del Servicio Canario de
la Salud le corresponde a:
A) A la Intervención General de la Comunidad Autónoma
B) La Dirección General de Recursos Económicos del Servicio Canario de la Salud, sin perjuicio de las
competencias atribuidas a la Intervención General de la Comunidad Autónoma
C) A la Intervención General de la Comunidad Autónoma, sin perjuicio de las competencias atribuidas a la
Dirección General de Recursos Económicos del Servicio Canario de la Salud
D) A la Dirección del Servicio Canario de Salud, sin perjuicio de las competencias atribuidas a la Intervención
General de la Comunidad Autónoma
Respuesta Correcta: B"
511,¿Qué órgano se encarga del control externo de la actividad económico-financiera del sector público en España?:,Banco de España.,Tribunal de Cuentas.,Banco Central Europeo.,Comisión Nacional del Mercado de Valores.,B,Tribunal de Cuentas.,"511. ¿Qué órgano se encarga del control externo de la actividad económico-financiera del sector público en España?:
A) Banco de España.
B) Tribunal de Cuentas.
C) Banco Central Europeo.
D) Comisión Nacional del Mercado de Valores.
Respuesta Correcta: B"
512,"A que órgano le corresponde la fiscalización externa de la gestión económica, financiera y contable del sector
público de la Comunidad Autónoma de Canarias :",Tribunal de cuentas,Parlamento de Canarias,Audiencia de cuentas,Banco de España,C,Audiencia de cuentas,"512. A que órgano le corresponde la fiscalización externa de la gestión económica, financiera y contable del sector
público de la Comunidad Autónoma de Canarias :

A) Tribunal de cuentas
B) Parlamento de Canarias
C) Audiencia de cuentas
D) Banco de España
Respuesta Correcta: C"
513,"Según lo dispuesto en el art. 9 de Ley Orgánica 2/1982, de 12 de mayo, del Tribunal de Cuentas, la función
fiscalizadora del Tribunal de Cuentas se referirá al sometimiento de la actividad económico-financiera del sector
público a los principios de:","legalidad, eficiencia","legalidad, eficiencia, economía, transparencia.","legalidad, eficiencia, economía, transparencia, sostenibilidad ambiental y la igualdad de género","legalidad, eficiencia, eficiencia, economía, transparencia y celeridad",C,"legalidad, eficiencia, economía, transparencia, sostenibilidad ambiental y la igualdad de género","513. Según lo dispuesto en el art. 9 de Ley Orgánica 2/1982, de 12 de mayo, del Tribunal de Cuentas, la función
fiscalizadora del Tribunal de Cuentas se referirá al sometimiento de la actividad económico-financiera del sector
público a los principios de:
A) legalidad, eficiencia
B) legalidad, eficiencia, economía, transparencia.
C) legalidad, eficiencia, economía, transparencia, sostenibilidad ambiental y la igualdad de género
D) legalidad, eficiencia, eficiencia, economía, transparencia y celeridad
Respuesta Correcta: C"
514,"Atendiendo a lo establecido en la Ley 4/1989, de 2 de mayo, de la Audiencia de Cuentas de Canarias, la
Audiencia de Cuentas depende directamente de:",el Parlamento de Canarias,el Gobierno de Canarias,el Parlamento y el Gobierno de Canarias.,no depende directamente de ningún otro órgano,A,el Parlamento de Canarias,"514. Atendiendo a lo establecido en la Ley 4/1989, de 2 de mayo, de la Audiencia de Cuentas de Canarias, la
Audiencia de Cuentas depende directamente de:
A) el Parlamento de Canarias
B) el Gobierno de Canarias
C) el Parlamento y el Gobierno de Canarias.
D) no depende directamente de ningún otro órgano
Respuesta Correcta: A"
515,El control de la Audiencia de Cuentas de Canarias se centra en:,Las empresas privadas del sector sanitario.,Las empresas del sector financiero.,La actividad económico-financiera de la Comunidad Autónoma de Canarias.,El control de exportaciones de la Comunidad Autónoma de Canarias.,C,La actividad económico-financiera de la Comunidad Autónoma de Canarias.,"515. El control de la Audiencia de Cuentas de Canarias se centra en:
A) Las empresas privadas del sector sanitario.

B) Las empresas del sector financiero.
C) La actividad económico-financiera de la Comunidad Autónoma de Canarias.
D) El control de exportaciones de la Comunidad Autónoma de Canarias.
Respuesta Correcta: C"
516,El Presidente del Tribunal de Cuentas será nombrado de entre sus miembros por:,"el Parlamento, a propuesta del Gobierno y por un período de cuatro años","el Rey, a propuesta del Parlamento y por un período de tres años",el Parlamento a propuesta del mismo Tribunal en Pleno y por un período de tres años,"el Rey, a propuesta del mismo Tribunal en Pleno y por un período de tres años",D,"el Rey, a propuesta del mismo Tribunal en Pleno y por un período de tres años","516. El Presidente del Tribunal de Cuentas será nombrado de entre sus miembros por:
A) el Parlamento, a propuesta del Gobierno y por un período de cuatro años
B) el Rey, a propuesta del Parlamento y por un período de tres años
C) el Parlamento a propuesta del mismo Tribunal en Pleno y por un período de tres años
D) el Rey, a propuesta del mismo Tribunal en Pleno y por un período de tres años
Respuesta Correcta: D"
517,La Audiencia de Cuentas está integrada por :,"cinco consejeros auditores elegidos por el Parlamento de Canarias por mayoría de tres quintos, y su mandato  tendrá una duración de cinco años","cuatro consejeros auditores elegidos por el Parlamento de Canarias por mayoría de dos tercios, y su mandato  tendrá una duración de cuatro años","siete consejeros auditores elegidos por el Parlamento de Canarias por mayoría de tres quintos, y su mandato  tendrá una duración de cinco años","nueve consejeros auditores elegidos por el Parlamento de Canarias por mayoría de dos tercios, y su mandato  tendrá una duración de cuatro años",A,"cinco consejeros auditores elegidos por el Parlamento de Canarias por mayoría de tres quintos, y su mandato  tendrá una duración de cinco años","517. La Audiencia de Cuentas está integrada por :
A) cinco consejeros auditores elegidos por el Parlamento de Canarias por mayoría de tres quintos, y su
mandato  tendrá una duración de cinco años
B) cuatro consejeros auditores elegidos por el Parlamento de Canarias por mayoría de dos tercios, y su
mandato  tendrá una duración de cuatro años
C) siete consejeros auditores elegidos por el Parlamento de Canarias por mayoría de tres quintos, y su
mandato  tendrá una duración de cinco años
D) nueve consejeros auditores elegidos por el Parlamento de Canarias por mayoría de dos tercios, y su
mandato  tendrá una duración de cuatro años
Respuesta Correcta: A"
518,¿Cuál de las siguientes acciones no es parte del control externo en la gestión financiera del sector público?:,Evaluar la legalidad de las operaciones financieras.,Supervisar el mercado de valores.,Verificar la eficiencia en el uso de los recursos públicos.,Emitir recomendaciones para mejorar la gestión financiera.,B,Supervisar el mercado de valores.,"518. ¿Cuál de las siguientes acciones no es parte del control externo en la gestión financiera del sector público?:
A) Evaluar la legalidad de las operaciones financieras.

B) Supervisar el mercado de valores.
C) Verificar la eficiencia en el uso de los recursos públicos.
D) Emitir recomendaciones para mejorar la gestión financiera.
Respuesta Correcta: B"
519,"¿Cuál es el plazo general en el que el Tribunal de Cuentas debe presentar sus informes de fiscalización pública a
las Cortes Generales?:",Cada año.,Cada dos años.,Cada cuatro años,Cada cinco años,A,Cada año.,"519. ¿Cuál es el plazo general en el que el Tribunal de Cuentas debe presentar sus informes de fiscalización pública a
las Cortes Generales?:
A) Cada año.
B) Cada dos años.
C) Cada cuatro años
D) Cada cinco años
Respuesta Correcta: A"
520,"En relación con las actividades de mejora continua de la calidad indique cuál de las siguientes herramientas NO
es una técnica útil para la priorización de problemas:",La técnica Delphi.,El diagrama de causa-efecto.,La técnica del Grupo Nominal.,El diagrama de Pareto.,B,El diagrama de causa-efecto.,"520. En relación con las actividades de mejora continua de la calidad indique cuál de las siguientes herramientas NO
es una técnica útil para la priorización de problemas:
A) La técnica Delphi.
B) El diagrama de causa-efecto.
C) La técnica del Grupo Nominal.
D) El diagrama de Pareto.
Respuesta Correcta: B"
521,¿Cuál de los siguientes autores se considera pionero en la aplicación de la calidad a los servicios sanitarios?,Max Weber.,Virginia Henderson.,Avedis Donabedian.,Hugo Müsterberg.,C,Avedis Donabedian.,"521. ¿Cuál de los siguientes autores se considera pionero en la aplicación de la calidad a los servicios sanitarios?
A) Max Weber.
B) Virginia Henderson.
C) Avedis Donabedian.
D) Hugo Müsterberg.

Respuesta Correcta: C"
522,Se puede definir Calidad Total cómo:,La calidad demandada por el usuario.,La calidad garantizada de cada uno de los procesos realizados.,La calidad programada por la empresa.,El concepto calidad total engloba los tres aspectos.,D,El concepto calidad total engloba los tres aspectos.,"522. Se puede definir Calidad Total cómo:
A) La calidad demandada por el usuario.
B) La calidad garantizada de cada uno de los procesos realizados.
C) La calidad programada por la empresa.
D) El concepto calidad total engloba los tres aspectos.
Respuesta Correcta: D"
523,"Sobre la estrategia de mejora continua de la calidad en cuatro pasos, denominada ""círculo o rueda de Deming""
es CORRECTO:","El orden de los cuatro pasos es: Planificar, Actuar, Comprobar y Ejecutar.",El primer paso es definir los objetivos y poner en marcha las acciones previstas.,El tercer paso consiste en medir los resultados y comparar con los objetivos.,El último paso pretende detectar los errores y establecer acciones de mejora.,C,El tercer paso consiste en medir los resultados y comparar con los objetivos.,"523. Sobre la estrategia de mejora continua de la calidad en cuatro pasos, denominada ""círculo o rueda de Deming""
es CORRECTO:
A) El orden de los cuatro pasos es: Planificar, Actuar, Comprobar y Ejecutar.
B) El primer paso es definir los objetivos y poner en marcha las acciones previstas.
C) El tercer paso consiste en medir los resultados y comparar con los objetivos.
D) El último paso pretende detectar los errores y establecer acciones de mejora.
Respuesta Correcta: C"
524,¿Cuál de los siguientes NO es un modelo o una norma de calidad?,La Joint Commission on Acreditation of Healthcare Organization (JCAHO).,La European Foundation for Quality Management.,Las normas ISO.,La Organización Panamericana de Salud (OPS).,D,La Organización Panamericana de Salud (OPS).,"524. ¿Cuál de los siguientes NO es un modelo o una norma de calidad?
A) La Joint Commission on Acreditation of Healthcare Organization (JCAHO).
B) La European Foundation for Quality Management.
C) Las normas ISO.
D) La Organización Panamericana de Salud (OPS).
Respuesta Correcta: D"
525,"¿Cuál o cuáles de las siguientes herramientas son útiles para el análisis de problemas en el contexto de un
proyecto de mejora de calidad?",El grupo nominal de Delbecq.,El diagrama causa-efecto de Ishikawa o de espina de pez.,El análisis de reclamaciones y sugerencias.,El brainstorming.,B,El diagrama causa-efecto de Ishikawa o de espina de pez.,"525. ¿Cuál o cuáles de las siguientes herramientas son útiles para el análisis de problemas en el contexto de un
proyecto de mejora de calidad?
A) El grupo nominal de Delbecq.
B) El diagrama causa-efecto de Ishikawa o de espina de pez.
C) El análisis de reclamaciones y sugerencias.

D) El brainstorming.
Respuesta Correcta: B"
526,"En relación a las diferentes dimensiones de la calidad, señale la opción CORRECTA:",La adecuación o idoneidad es la medida en la que el servicio sanitario se corresponde con las necesidades reales de los usuarios.,La efectividad hace referencia al impacto potencial de un servicio sanitario.,La eficiencia se refiere al impacto real de un servicio sanitario.,Una atención de calidad debe estar centrada en la satisfacción de los profesionales sanitarios.,A,La adecuación o idoneidad es la medida en la que el servicio sanitario se corresponde con las necesidades reales de los usuarios.,"526. En relación a las diferentes dimensiones de la calidad, señale la opción CORRECTA:
A) La adecuación o idoneidad es la medida en la que el servicio sanitario se corresponde con las necesidades
reales de los usuarios.
B) La efectividad hace referencia al impacto potencial de un servicio sanitario.
C) La eficiencia se refiere al impacto real de un servicio sanitario.
D) Una atención de calidad debe estar centrada en la satisfacción de los profesionales sanitarios.
Respuesta Correcta: A"
527,Se puede definir Calidad Total como:,La calidad demandada por el usuario.,La calidad garantizada de cada uno de los procesos realizados.,La calidad programada por la empresa.,El concepto calidad total engloba esos tres aspectos.,D,El concepto calidad total engloba esos tres aspectos.,"527. Se puede definir Calidad Total como:
A) La calidad demandada por el usuario.
B) La calidad garantizada de cada uno de los procesos realizados.
C) La calidad programada por la empresa.
D) El concepto calidad total engloba esos tres aspectos.
Respuesta Correcta: D"
528,"De las siguientes afirmaciones relacionadas con la calidad asistencial, señale la CORRECTA:",La calidad es un término absoluto y está ligada a los medios.,La calidad en una organización sanitaria está ligada a la actitud y aptitud de quienes deben propiciarla.,La responsabilidad de la calidad es exclusiva de los profesionales sanitarios.,Todas son correctas.,B,La calidad en una organización sanitaria está ligada a la actitud y aptitud de quienes deben propiciarla.,"528. De las siguientes afirmaciones relacionadas con la calidad asistencial, señale la CORRECTA:
A) La calidad es un término absoluto y está ligada a los medios.
B) La calidad en una organización sanitaria está ligada a la actitud y aptitud de quienes deben propiciarla.
C) La responsabilidad de la calidad es exclusiva de los profesionales sanitarios.
D) Todas son correctas.
Respuesta Correcta: B"
529,"Es CIERTO que, en la evaluación de la calidad asistencial:",El criterio es el valor mínimo que se debe alcanzar en el cumplimiento de una condición para que sea aceptable.,El estándar es la condición que debe cumplirse para que la atención pueda ser considerada de calidad.,El estándar hace referencia al nivel mínimo que se ha de alcanzar en el cumplimiento de un criterio para que sea aceptable.,El estándar se fija después de haber realizado la evaluación.,C,El estándar hace referencia al nivel mínimo que se ha de alcanzar en el cumplimiento de un criterio para que sea aceptable.,"529. Es CIERTO que, en la evaluación de la calidad asistencial:
A) El criterio es el valor mínimo que se debe alcanzar en el cumplimiento de una condición para que sea
aceptable.
B) El estándar es la condición que debe cumplirse para que la atención pueda ser considerada de calidad.

C) El estándar hace referencia al nivel mínimo que se ha de alcanzar en el cumplimiento de un criterio para que
sea aceptable.
D) El estándar se fija después de haber realizado la evaluación.
Respuesta Correcta: C"
530,"Respecto a la validez de la medición de la calidad, es CIERTO que:",Los criterios de estructura no son condición ni necesaria ni suficiente para afirmar que un servicio es de calidad.,Son más fáciles de obtener los datos de resultado que los de proceso.,Los programas centrados en el proceso no tienen por qué tener relación con el resultado.,La utilidad inmediata del conocimiento de los datos de proceso para saber qué hacer para mejorar es superior a la utilidad de los datos de resultado.,D,La utilidad inmediata del conocimiento de los datos de proceso para saber qué hacer para mejorar es superior a la utilidad de los datos de resultado.,"530. Respecto a la validez de la medición de la calidad, es CIERTO que:
A) Los criterios de estructura no son condición ni necesaria ni suficiente para afirmar que un servicio es de
calidad.
B) Son más fáciles de obtener los datos de resultado que los de proceso.
C) Los programas centrados en el proceso no tienen por qué tener relación con el resultado.
D) La utilidad inmediata del conocimiento de los datos de proceso para saber qué hacer para mejorar es
superior a la utilidad de los datos de resultado.
Respuesta Correcta: D"
531,¿Cuál es el propósito principal de los sistemas de costes en la Sanidad?,Maximizar los ingresos.,Minimizar los costes fijos.,Facilitar la toma de decisiones y el control de costes.,Promover la competencia entre hospitales.,C,Facilitar la toma de decisiones y el control de costes.,"531. ¿Cuál es el propósito principal de los sistemas de costes en la Sanidad?
A) Maximizar los ingresos.
B) Minimizar los costes fijos.
C) Facilitar la toma de decisiones y el control de costes.
D) Promover la competencia entre hospitales.
Respuesta Correcta: C"
532,¿Cuál de las siguientes no es una categoría común de costes en el sistema de salud?,Costes fijos.,Costes variables.,Costes históricos.,Costes mixtos.,C,Costes históricos.,"532. ¿Cuál de las siguientes no es una categoría común de costes en el sistema de salud?
A) Costes fijos.
B) Costes variables.
C) Costes históricos.
D) Costes mixtos.
Respuesta Correcta: C"
533,¿Qué tipo de costes varían en función del nivel de producción de servicios de salud?,Costes fijos.,Costes variables.,Costes marginales.,Costes directos.,B,Costes variables.,"533. ¿Qué tipo de costes varían en función del nivel de producción de servicios de salud?

A) Costes fijos.
B) Costes variables.
C) Costes marginales.
D) Costes directos.
Respuesta Correcta: B"
534,¿Cuál es el objetivo principal del sistema de imputación de costes en la Sanidad?,Determinar quién es el responsable de los costes en el sistema.,Asignar de manera adecuada los costes a los productos o servicios de salud.,Reducir los costes totales del sistema de salud.,Evaluar la calidad de los servicios de salud.,B,Asignar de manera adecuada los costes a los productos o servicios de salud.,"534. ¿Cuál es el objetivo principal del sistema de imputación de costes en la Sanidad?
A) Determinar quién es el responsable de los costes en el sistema.
B) Asignar de manera adecuada los costes a los productos o servicios de salud.
C) Reducir los costes totales del sistema de salud.
D) Evaluar la calidad de los servicios de salud.
Respuesta Correcta: B"
535,¿Qué es el sistema de costes ABC?,Un sistema de contabilidad básica.,Un sistema de imputación de costes basado en actividades.,Un sistema de gestión de ingresos en la Sanidad.,Un sistema de asignación de costes a pacientes.,B,Un sistema de imputación de costes basado en actividades.,"535. ¿Qué es el sistema de costes ABC?
A) Un sistema de contabilidad básica.
B) Un sistema de imputación de costes basado en actividades.
C) Un sistema de gestión de ingresos en la Sanidad.
D) Un sistema de asignación de costes a pacientes.
Respuesta Correcta: B"
536,¿Cuál de las siguientes no es una actividad en el sistema de costes ABC en Sanidad?,Consulta médica.,Mantenimiento de equipos médicos.,Limpieza de instalaciones.,Pago de salarios a empleados.,D,Pago de salarios a empleados.,"536. ¿Cuál de las siguientes no es una actividad en el sistema de costes ABC en Sanidad?
A) Consulta médica.
B) Mantenimiento de equipos médicos.
C) Limpieza de instalaciones.
D) Pago de salarios a empleados.
Respuesta Correcta: D"
537,"¿Cuál de las siguientes opciones no es una estrategia común para controlar los costes en la Sanidad de
Canarias?",Reducción de la cantidad de los servicios.,Mejora de la eficiencia operativa.,Negociación de precios con proveedores.,Fomento de la prevención de enfermedades.,A,Reducción de la cantidad de los servicios.,"537. ¿Cuál de las siguientes opciones no es una estrategia común para controlar los costes en la Sanidad de
Canarias?

A) Reducción de la cantidad de los servicios.
B) Mejora de la eficiencia operativa.
C) Negociación de precios con proveedores.
D) Fomento de la prevención de enfermedades.
Respuesta Correcta: A"
538,¿Cuál de los siguientes términos se refiere a los recursos sacrificados para lograr un objetivo particular?,Ingreso.,Coste.,Beneficio.,Margen.,B,Coste.,"538. ¿Cuál de los siguientes términos se refiere a los recursos sacrificados para lograr un objetivo particular?
A) Ingreso.
B) Coste.
C) Beneficio.
D) Margen.
Respuesta Correcta: B"
539,"En la toma de decisiones a corto plazo, ¿cuándo se consideran los costes irrelevantes?",Cuando los costes son fijos.,Cuando los costes varían con la producción.,Cuando los costes ya han sido incurridos.,Cuando los costes no se ven afectados por la decisión.,C,Cuando los costes ya han sido incurridos.,"539. En la toma de decisiones a corto plazo, ¿cuándo se consideran los costes irrelevantes?
A) Cuando los costes son fijos.
B) Cuando los costes varían con la producción.
C) Cuando los costes ya han sido incurridos.
D) Cuando los costes no se ven afectados por la decisión.
Respuesta Correcta: C"
540,"Un sistema de imputación de costes que utiliza un conjunto predeterminado de costes por unidad de producto
como base para comparar y analizar costes reales se llama:",Costeo absorbente.,Costeo variable.,Costeo por actividades.,Costeo estándar.,D,Costeo estándar.,"540. Un sistema de imputación de costes que utiliza un conjunto predeterminado de costes por unidad de producto
como base para comparar y analizar costes reales se llama:
A) Costeo absorbente.
B) Costeo variable.
C) Costeo por actividades.
D) Costeo estándar.
Respuesta Correcta: D"
541,Un coste que puede ser eliminado si se toma una decisión alternativa se llama:,Coste relevante.,Coste hundido.,Coste irrecuperable.,Coste fijo.,A,Coste relevante.,"541. Un coste que puede ser eliminado si se toma una decisión alternativa se llama:
A) Coste relevante.
B) Coste hundido.
C) Coste irrecuperable.
D) Coste fijo.
Respuesta Correcta: A"
542,"¿Qué se entiende por ""coste"" en el contexto de las Instituciones Sanitarias?",Beneficio obtenido.,Gastos incurridos.,Ingresos generados.,Activos acumulados.,B,Gastos incurridos.,"542. ¿Qué se entiende por ""coste"" en el contexto de las Instituciones Sanitarias?
A) Beneficio obtenido.
B) Gastos incurridos.
C) Ingresos generados.
D) Activos acumulados.
Respuesta Correcta: B"
543,¿Cuál de los siguientes no es un elemento del coste en un centro hospitalario?,Personal médico.,Mantenimiento de equipos.,Publicidad y marketing.,Suministros médicos.,C,Publicidad y marketing.,"543. ¿Cuál de los siguientes no es un elemento del coste en un centro hospitalario?
A) Personal médico.
B) Mantenimiento de equipos.
C) Publicidad y marketing.
D) Suministros médicos.
Respuesta Correcta: C"
544,"¿Qué es el ""punto de equilibrio"" en el análisis de costes hospitalarios?",El momento en que se obtiene el máximo beneficio.,El punto en que los costes totales igualan los ingresos totales.,El momento en que los costes fijos desaparecen.,El punto en que los costes variables igualan los costes fijos.,B,El punto en que los costes totales igualan los ingresos totales.,"544. ¿Qué es el ""punto de equilibrio"" en el análisis de costes hospitalarios?
A) El momento en que se obtiene el máximo beneficio.
B) El punto en que los costes totales igualan los ingresos totales.
C) El momento en que los costes fijos desaparecen.
D) El punto en que los costes variables igualan los costes fijos.
Respuesta Correcta: B"
545,¿Cuál es un coste indirecto en el contexto hospitalario?,Costo de los suministros médicos.,Costo de los medicamentos.,Costo de los equipos de diagnóstico.,Costo de la energía eléctrica.,D,Costo de la energía eléctrica.,"545. ¿Cuál es un coste indirecto en el contexto hospitalario?
A) Costo de los suministros médicos.
B) Costo de los medicamentos.
C) Costo de los equipos de diagnóstico.
D) Costo de la energía eléctrica.
Respuesta Correcta: D"
546,"¿Qué es la ""contabilidad de costes"" en el contexto de las instituciones sanitarias?",Registro de los ingresos de un hospital.,Registro de los gastos de un hospital.,Registro de las inversiones de un hospital.,Registro de los resultados asistenciales de un hospital.,B,Registro de los gastos de un hospital.,"546. ¿Qué es la ""contabilidad de costes"" en el contexto de las instituciones sanitarias?
A) Registro de los ingresos de un hospital.
B) Registro de los gastos de un hospital.
C) Registro de las inversiones de un hospital.
D) Registro de los resultados asistenciales de un hospital.
Respuesta Correcta: B"
547,"¿Qué representa el concepto de ""amortización"" en el cálculo de costes hospitalarios?",Costos variables.,Costos fijos.,Distribución de costos en el tiempo.,Costos administrativos.,C,Distribución de costos en el tiempo.,"547. ¿Qué representa el concepto de ""amortización"" en el cálculo de costes hospitalarios?
A) Costos variables.
B) Costos fijos.
C) Distribución de costos en el tiempo.
D) Costos administrativos.
Respuesta Correcta: C"
548,"¿Qué es el ""coste total"" en el análisis de costes hospitalarios?",Suma de los costes fijos y variables.,Costes fijos menos costes variables.,Costes variables menos costes fijos.,Costes fijos divididos por costes variables.,A,Suma de los costes fijos y variables.,"548. ¿Qué es el ""coste total"" en el análisis de costes hospitalarios?
A) Suma de los costes fijos y variables.
B) Costes fijos menos costes variables.
C) Costes variables menos costes fijos.
D) Costes fijos divididos por costes variables.
Respuesta Correcta: A"
549,"En el contexto de un centro hospitalario, ¿qué implica el término ""coste variable""?",Costos que se mantienen constantes.,Costos que cambian en proporción a la actividad.,Costos que no se pueden medir.,Costos que dependen del margen de beneficio.,B,Costos que cambian en proporción a la actividad.,"549. En el contexto de un centro hospitalario, ¿qué implica el término ""coste variable""?
A) Costos que se mantienen constantes.
B) Costos que cambian en proporción a la actividad.
C) Costos que no se pueden medir.
D) Costos que dependen del margen de beneficio.
Respuesta Correcta: B"
550,¿Cuál es una medida común de eficiencia en la gestión de costes en hospitales?,Aumentar el número de camas.,Reducir la calidad de los servicios asistenciales.,Incrementar los precios de los servicios médicos.,Reducir la estancia media de los pacientes.,D,Reducir la estancia media de los pacientes.,"550. ¿Cuál es una medida común de eficiencia en la gestión de costes en hospitales?
A) Aumentar el número de camas.
B) Reducir la calidad de los servicios asistenciales.
C) Incrementar los precios de los servicios médicos.
D) Reducir la estancia media de los pacientes.
Respuesta Correcta: D"
551,"¿Qué es la ""unidad de coste"" en el análisis hospitalario?",Pacientes atendidos en un día.,Coste total de un procedimiento médico.,Coste promedio por paciente atendido.,Ingresos totales del hospital.,C,Coste promedio por paciente atendido.,"551. ¿Qué es la ""unidad de coste"" en el análisis hospitalario?
A) Pacientes atendidos en un día.
B) Coste total de un procedimiento médico.
C) Coste promedio por paciente atendido.
D) Ingresos totales del hospital.
Respuesta Correcta: C"
552,"¿Qué es el ""coste marginal"" en el ámbito hospitalario?",Costo que no se puede cuantificar.,Costo adicional de producir una unidad más.,Costo que no cambia con la producción.,Costo que se asigna a largo plazo.,B,Costo adicional de producir una unidad más.,"552. ¿Qué es el ""coste marginal"" en el ámbito hospitalario?
A) Costo que no se puede cuantificar.
B) Costo adicional de producir una unidad más.
C) Costo que no cambia con la producción.
D) Costo que se asigna a largo plazo.
Respuesta Correcta: B"
553,"Los denominados Grupos Relacionados por el Diagnóstico (GRD) constituyen una herramienta de gestión que
clasifica los episodios de hospitalización:",En función del proceso clínico y el consumo de recursos,En función del proceso clínico sin tener en cuenta el consumo de recursos,En función del consumo de recursos sin tener en cuenta el proceso clínico,Sin tener en cuenta el proceso clínico ni el consumo de recursos,A,En función del proceso clínico y el consumo de recursos,"553. Los denominados Grupos Relacionados por el Diagnóstico (GRD) constituyen una herramienta de gestión que
clasifica los episodios de hospitalización:
A) En función del proceso clínico y el consumo de recursos
B) En función del proceso clínico sin tener en cuenta el consumo de recursos
C) En función del consumo de recursos sin tener en cuenta el proceso clínico
D) Sin tener en cuenta el proceso clínico ni el consumo de recursos
Respuesta Correcta: A"
554,"¿Cuál de las siguientes afirmaciones NO es una característica de los Grupos Relacionados con el Diagnóstico
(GRD)?",Permiten identificar y etiquetar el producto sanitario,Son útiles en la evaluación hospitalaria al agrupar la actividad según un criterio de coherencia clínica,Elimina la heterogeneidad de los procesos,Su fiabilidad no depende de la calidad de la información ni del proceso de codificación,D,Su fiabilidad no depende de la calidad de la información ni del proceso de codificación,"554. ¿Cuál de las siguientes afirmaciones NO es una característica de los Grupos Relacionados con el Diagnóstico
(GRD)?
A) Permiten identificar y etiquetar el producto sanitario
B) Son útiles en la evaluación hospitalaria al agrupar la actividad según un criterio de coherencia clínica
C) Elimina la heterogeneidad de los procesos
D) Su fiabilidad no depende de la calidad de la información ni del proceso de codificación
Respuesta Correcta: D"
555,"Según el sistema de paciente atendido, los sistemas de clasificación de pacientes son instrumentos capaces de
identificar y agrupar casos. Uno de estos sistemas son los GRD. En relación a éstos una de las respuestas es
falsa:",Los GRD son sistemas de clasificación exclusivamente de pacientes hospitalarios,Los GRD forma grupos denominados de isoconsumos,La puerta de entrada al clasificador es el diagnóstico principal recogido en el CMBD,Cada GRD lleva asignado un peso relativo,A,Los GRD son sistemas de clasificación exclusivamente de pacientes hospitalarios,"555. Según el sistema de paciente atendido, los sistemas de clasificación de pacientes son instrumentos capaces de
identificar y agrupar casos. Uno de estos sistemas son los GRD. En relación a éstos una de las respuestas es
falsa:
A) Los GRD son sistemas de clasificación exclusivamente de pacientes hospitalarios
B) Los GRD forma grupos denominados de isoconsumos
C) La puerta de entrada al clasificador es el diagnóstico principal recogido en el CMBD
D) Cada GRD lleva asignado un peso relativo
Respuesta Correcta: A"
556,¿Cuál de las siguientes variables NO se incluye en el Conjunto Mínimo Básico de Datos de Hospitalización?,Fecha de nacimiento,Circunstancia del Alta,Tipo de intervención,Diagnóstico principal,C,Tipo de intervención,"556. ¿Cuál de las siguientes variables NO se incluye en el Conjunto Mínimo Básico de Datos de Hospitalización?
A) Fecha de nacimiento
B) Circunstancia del Alta
C) Tipo de intervención
D) Diagnóstico principal

Respuesta Correcta: C"
